doc;page;line;year;match;prefix;gram;person;number;mood;tempus;auxiliar;g_kat;lemma;sem;status;rektion;object;obj_case;pr_obj;adverb;adverb_tmp;adverb_mod;adjunct;belebt;negation;conjunction;clause;context;phenomenon;comment;trans;translator;trans_anm
Chronicle;MS A Early;14;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;"Ond þæs ymb vi gear þæs þe hie up cuomon geeodon West| Seaxna rice , \& þæt uuærun þa ærestan cyningas| þe West Seaxna lond on Wealum geeodon ; \& he hæfde þæt| rice xvi gear , \& þa he gefor þa feng his| sunu Cynric to þam rice , \& #heold# xvii winter .";;;And six years after they came up here they took the West-Saxon kingdom. They were the first kings that took the West-Saxon lands in Wales and he held the kingdom for sixteen years, and when he died, his son Cynric succeeded to the kingdom and reigned for seventeen winters.;\cite{Killings1996};\eUe
Chronicle;MS A Early;15;0;gefor;ge;3.sg.ind.prt.;3;sg;ind;prt;-;prt;faran;sterben;gram;;;;;;;;;;0;þā;tempSatz;þa he #gefor# þa feng Ceol to þam rice , \& heold vi gear .;;;[When he died, Ceol succeeded and held the kingdom for 6 years];\cite{Killings1996};
Chronicle;MS A Early;15;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa he gefor þa #feng# Ceol to þam rice , \& heold vi gear .;;;[When he died, Ceol succeeded and held the kingdom for 6 years];\cite{Killings1996};
Chronicle;MS A Early;15;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;þa he gefor þa feng Ceol to þam rice , \& #heold# vi gear .;;;[When he died, Ceol succeeded and held the kingdom for 6 years];\cite{Killings1996};
Chronicle;MS A Early;16;0;gefor;ge;3.sg.ind.prt.;3;sg;ind;prt;-;prt;faran;sterben;gram;;;;;;;;;;0;þā;tempSatz;þa he #gefor# þa feng Ceolwulf to his broþur , \& he ricsode| xvii gear ,;;;[When he died, Ceolwulf, his brother, succeeded, and reigned seventeen years.];\cite{Killings1996};
Chronicle;MS A Early;16;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa he gefor þa #feng# Ceolwulf to his broþur , \& he ricsode| xvii gear ,;;;[When he died, Ceolwulf, his brother, succeeded, and reigned seventeen years.];\cite{Killings1996};
Chronicle;MS A Early;17;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;HS;\& hiera cyn #gæþ# to Cerdice .;;;Their kin goeth to Cerdic.;\cite{Killings1996};
Chronicle;MS A Early;18;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# Cynegils Ceolwulfes broþursunu to rice , \& ricsode| xxxi wintra ,;;;"Then succeeded Cynebils, Ceolwulf's brother's son, to the kingdom; and reigned one and thirty winters.";\cite{Killings1996};
Chronicle;MS A Early;20;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;\& þa #feng# Cenwalh to , \& heold xxxi| wintra ,;;Partikelverb;Then succeeded Cenwall, […] and reigned one and thirty winters.;\cite{Killings1996};
Chronicle;MS A Early;20;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;\& þa feng Cenwalh to , \& #heold# xxxi| wintra ,;;;Then succeeded Cenwall, […] and reigned one and thirty winters.;\cite{Killings1996};
Chronicle;MS A Early;21;0;wæs;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;hidden;;;;;;;;;;;;;"\& se Cenwalh #wæs# Cynegilses sunu ; \&| þa heold Seaxburg his cuen an gear þæt rice æfter him .";;;Then held Sexburga, his queen, the government one year after him.;\cite{Killings1996};
Chronicle;MS A Early;22;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;"\& se Cenwalh wæs Cynegilses sunu ; \&| þa #heold# Seaxburg his cuen an gear þæt rice æfter him .";;;Then held Sexburga, his queen, the government one year after him.;\cite{Killings1996};
Chronicle;MS A Early;23;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# æscwine to rice , þæs cyn gæþ to Cerdice , \& heold| ii gear .;;;Then succeeded Escwine to the kingdom, whose kin goeth to Cerdic, and held it two years.;\cite{Killings1996};
Chronicle;MS A Early;23;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng æscwine to rice , þæs cyn #gæþ# to Cerdice , \& heold| ii gear .;;;Then succeeded Escwine to the kingdom, whose kin goeth to Cerdic, and held it two years.;\cite{Killings1996};
Chronicle;MS A Early;23;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;þa feng æscwine to rice , þæs cyn gæþ to Cerdice , \& #heold#| ii gear .;;;Then succeeded Escwine to the kingdom, whose kin goeth to Cerdic, and held it two years.;\cite{Killings1996};
Chronicle;MS A Early;25;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;"þa #feng# Centwine to Wesseaxna rice Cynegilsing , \& ricsode| vii gear ;";;;Then succeeded Centwine, the son of Cynegils, to the kingdom of the West-Saxons, and reigned [seven] years.;\cite{Killings1996};
Chronicle;MS A Early;26;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# Ceadwalla to þam rice ,| þæs cyn gæþ to Cerdice , \& heold iii gear .;;;Then succeeded Ceadwall to the government, whose kin goeth to Cerdic, and held it three years.;\cite{Killings1996};
Chronicle;MS A Early;27;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng Ceadwalla to þam rice ,| þæs cyn #gæþ# to Cerdice , \& heold iii gear .;;;Then succeeded Ceadwall to the government, whose kin goeth to Cerdic, and held it three years.;\cite{Killings1996};
Chronicle;MS A Early;27;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;þa feng Ceadwalla to þam rice ,| þæs cyn gæþ to Cerdice , \& #heold# iii gear .;;;Then succeeded Ceadwall to the government, whose kin goeth to Cerdic, and held it three years.;\cite{Killings1996};
Chronicle;MS A Early;28;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;ða #feng# Ine to Seaxna rice , þæs cyn gæþ to Ceardice , \&| heold xxxvii| wintra .;;;Then succeeded Ina to the kingdom of the West-Saxons, whose kin goeth to Cerdic, and reigned thirty-seven winters.;\cite{Killings1996};
Chronicle;MS A Early;28;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;ða feng Ine to Seaxna rice , þæs cyn #gæþ# to Ceardice , \&| heold xxxvii| wintra .;;;Then succeeded Ina to the kingdom of the West-Saxons, whose kin goeth to Cerdic, and reigned thirty-seven winters.;\cite{Killings1996};
Chronicle;MS A Early;29;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;ða feng Ine to Seaxna rice , þæs cyn gæþ to Ceardice , \&| #heold# xxxvii| wintra .;;;Then succeeded Ina to the kingdom of the West-Saxons, whose kin goeth to Cerdic, and reigned thirty-seven winters.;\cite{Killings1996};
Chronicle;MS A Early;31;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;þa #feng# æþelheard to , þæs cyn gæþ to Ceardice , \& heold| xiiii winter .;;Partikelverb;Then succeeded Ethelheard, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;31;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng æþelheard to , þæs cyn #gæþ# to Ceardice , \& heold| xiiii winter .;;;Then succeeded Ethelheard, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;31;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng æþelheard to , þæs cyn gæþ to Ceardice , \& #heold#| xiiii winter .;;;Then succeeded Ethelheard, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;33;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;þa #feng# Cuþred to , þæs cyn gæþ to Cerdice , \& heold| xvii gear .;;Partikelverb;Then succeeded Cuthred, whose kin goeth to Cerdic, and reigned sixteen winters.;\cite{Killings1996};
Chronicle;MS A Early;33;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng Cuþred to , þæs cyn #gæþ# to Cerdice , \& heold| xvii gear .;;;Then succeeded Cuthred, whose kin goeth to Cerdic, and reigned sixteen winters.;\cite{Killings1996};
Chronicle;MS A Early;33;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng Cuþred to , þæs cyn gæþ to Cerdice , \& #heold#| xvii gear .;;;Then succeeded Cuthred, whose kin goeth to Cerdic, and reigned sixteen winters.;\cite{Killings1996};
Chronicle;MS A Early;35;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;þa #feng# Sigebryht to , þæs cyn gæþ to Cerdice , \& heold an| gear .;;Partikelverb;Then succeeded Sigebriht, whose kin goeth to Cerdic, and reigned one year.;\cite{Killings1996};
Chronicle;MS A Early;35;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng Sigebryht to , þæs cyn #gæþ# to Cerdice , \& heold an| gear .;;;Then succeeded Sigebriht, whose kin goeth to Cerdic, and reigned one year.;\cite{Killings1996};
Chronicle;MS A Early;35;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng Sigebryht to , þæs cyn gæþ to Cerdice , \& #heold# an| gear .;;;Then succeeded Sigebriht, whose kin goeth to Cerdic, and reigned one year.;\cite{Killings1996};
Chronicle;MS A Early;37;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# Cynewulf to rice , þæs cyn gæþ to Ceardice , \&| heold xxxi wintra .;;;Then succeeded Cynwulf, whose kin goeth to Cerdic, and reigned one and thirty winters.;\cite{Killings1996};
Chronicle;MS A Early;37;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng Cynewulf to rice , þæs cyn #gæþ# to Ceardice , \&| heold xxxi wintra .;;;Then succeeded Cynwulf, whose kin goeth to Cerdic, and reigned one and thirty winters.;\cite{Killings1996};
Chronicle;MS A Early;38;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng Cynewulf to rice , þæs cyn gæþ to Ceardice , \&| #heold# xxxi wintra .;;;Then succeeded Cynwulf, whose kin goeth to Cerdic, and reigned one and thirty winters.;\cite{Killings1996};
Chronicle;MS A Early;39;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# Beorhtric to rice , þæs cyn gæþ to Cerdice , \&| heold xvi gear .;;;Then succeeded Brihtric, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;39;0;gæþ;0;3.sg.ind.prs.;3;sg;ind;prs;-;prs;gān;motion;gram;;;;;;;;;;0;;relSatz-a;þa feng Beorhtric to rice , þæs cyn #gæþ# to Cerdice , \&| heold xvi gear .;;;Then succeeded Brihtric, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;40;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng Beorhtric to rice , þæs cyn gæþ to Cerdice , \&| #heold# xvi gear .;;;Then succeeded Brihtric, whose kin goeth to Cerdic, and reigned sixteen years.;\cite{Killings1996};
Chronicle;MS A Early;41;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;"þa #feng# Ecgbryht to þam rice , \& heold xxxvii wintra \&| vii monaþ ;";;;Then succeeded Egbert to the kingdom, and held it seven and thirty winters, and seven months.;\cite{Killings1996};
Chronicle;MS A Early;41;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;"þa feng Ecgbryht to þam rice , \& #heold# xxxvii wintra \&| vii monaþ ;";;;Then succeeded Egbert to the kingdom, and held it seven and thirty winters, and seven months.;\cite{Killings1996};
Chronicle;MS A Early;42;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;\& þa #feng# æþelwulf his sunu to ,| \& heold nigonteoðe healf gear .;;Partikelverb;Then succeeded Ethelwulf, his son, and reigned eighteen years and a half.;\cite{Killings1996};
Chronicle;MS A Early;43;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;\& þa feng æþelwulf his sunu to ,| \& #heold# nigonteoðe healf gear .;;;Then succeeded Ethelwulf, his son, and reigned eighteen years and a half.;\cite{Killings1996};
Chronicle;MS A Early;44;0;wæs;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;hidden;;;;;;;;;;;;;Se æþelwulf #wæs# Ecgbryhting ․ Ecgbryht ․ Ealhmunding ․| Eahlmund ․ Eafing ․ Eafa ․ Eopping ․ Eoppa ․ Ingilding ․| Ingild ․ Cenreding ․ \& Ine ․ Cenreding ․ \& Cuþburg ․| Cenreding ․ \& Cuenburg ․ Cenreding ․ Cenred ․ Ceolwalding ․| Ceolwald ․ Cuþwulfing ․ Cuþwulf Cuþwining ․ Cuþwine ․| Celming ․ Celm ․ Cynricing ․ Cynric ․ Cerdicing .;;;Ethelwulf was the son of Egbert, Egbert of Ealmund, Ealmund of Eafa, Eafa of Eoppa, Eoppa of Ingild, Ingild of Cenred (Ina of Cenred, Cuthburga of Cenred, and Cwenburga of Cenred), Cenred of Ceolwald, Ceolwald of Cuthwulf, Cuthwulf of Cuthwine, Cuthwine of Celm, Celm of Cynric, Cynric of Creoda, Creoda of Cerdic.;\cite{Killings1996};
Chronicle;MS A Early;50;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;Ond þa #feng# æthelbald his sunu to rice , \& heold v gear .;;;Then succeeded Ethelbald, the son of Ethelwulf, to the kingdom, and held it five years.;\cite{Killings1996};
Chronicle;MS A Early;50;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;Ond þa feng æthelbald his sunu to rice , \& #heold# v gear .;;;Then succeeded Ethelbald, the son of Ethelwulf, to the kingdom, and held it five years.;\cite{Killings1996};
Chronicle;MS A Early;51;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;;;;;tō;unbel;0;;HS;þa #feng# æþelbryht his broþur to , \& heold v gear .;;Partikelverb;Then succeeded Ethelbert, his brother, and reigned five years.;\cite{Killings1996};
Chronicle;MS A Early;51;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;[rīċe];unbel;0;;HS;þa feng æþelbryht his broþur to , \& #heold# v gear .;;;Then succeeded Ethelbert, his brother, and reigned five years.;\cite{Killings1996};
Chronicle;MS A Early;52;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# æþered hiera broþur to rice , \& heold v gear .;;;Then succeeded Ethelred, his brother, to the kingdom, and held it five years.;\cite{Killings1996};
Chronicle;MS A Early;52;0;heold;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;healdan;behalten;sem;;sub;akk;;;;;rīċe;unbel;0;;HS;þa feng æþered hiera broþur to rice , \& #heold# v gear .;;;Then succeeded Ethelred, his brother, to the kingdom, and held it five years.;\cite{Killings1996};
Chronicle;MS A Early;53;0;feng;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;fōn;;?;;;;tō+;;;;;unbel;0;;HS;þa #feng# ælfred hiera broþur to rice , \& þa was agan his| ielde xxiii wintra .;;;Then succeeded Alfred, their brother, to the government. And then had elapsed of his age three and twenty winters;\cite{Killings1996};
Chronicle;MS A Early;53;0;was;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;aux;;;;;;;;;;;;;þa feng ælfred hiera broþur to rice , \& þa #was# agan his| ielde xxiii wintra .;;;Then succeeded Alfred, their brother, to the government. And then had elapsed of his age three and twenty winters;\cite{Killings1996};
Chronicle;MS A Early;53;0;agan;ā;3.sg.ind.pperf.pass.;3;sg;ind;pperf;wesan;perf;āgān;motion;keep;;;;;;;;;;0;;HS;þa feng ælfred hiera broþur to rice , \& þa was #agan# his| ielde xxiii wintra .;;;Then succeeded Alfred, their brother, to the government. And then had elapsed of his age three and twenty winters;\cite{Killings1996};
Chronicle;MS A Early;55;0;geodon;ge;3.pl.ind.prt.;3;pl;ind;prt;-;prt;gān;motion;gram;;sub;akk;;;;;land;unbel;0;þæs;tempSatz;\& ccc \& xcvi wintra| þæs þe his cyn ærest Westseaxna lond on Wealum #geodon# .;;;and three hundred and ninety-six winters from the time when his kindred first overran the land of Wessex from the Welsh.;\cite{Killings1996};bearb.
Chronicle;MS A Early;57;0;gesohte;ge;3.sg.ind.prt.;3;sg;ind;prt;-;prt;sēċan;aufsuchen;reste;;sub;akk;;;;;land;unbel;0;;HS;AER Cristes geflæscnesse lx wintra ․ Gaius Iulius se| Casere ærest Romana Bretenlond #gesohte# ․ \& Brettas| mid gefeohte cnysede ․ \& hie ofer swiþde , \& swa þeah ne| meahte þær rice gewinnan .;;;"Before the incarnation of Christ sixty years, Gaius Julius the emperor, first of the Romans, sought the land of Britain; and he crushed the Britons in battle, and overcame them; and nevertheless he was unable to gain any empire there.";\cite{Killings1996};
Chronicle;MS A Early;59;0;meahte;;3.sg.ind.prt.;3;sg;ind;prt;-;prt;magan;;modalverb;;;;;;;;;;ne;;;AER Cristes geflæscnesse lx wintra ․ Gaius Iulius se| Casere ærest Romana Bretenlond gesohte ․ \& Brettas| mid gefeohte cnysede ․ \& hie ofer swiþde , \& swa þeah ne| #meahte# þær rice gewinnan .;;;"Before the incarnation of Christ sixty years, Gaius Julius the emperor, first of the Romans, sought the land of Britain; and he crushed the Britons in battle, and overcame them; and nevertheless he was unable to gain any empire there.";\cite{Killings1996};
Chronicle;MS A Early;59;0;gewinnan;ge;inf.;-;-;inf;prs;-;inf;winnan;;gram;magan;sub;akk;;;;;rīċe;unbel;ne;þēah;konz;AER Cristes geflæscnesse lx wintra ․ Gaius Iulius se| Casere ærest Romana Bretenlond gesohte ․ \& Brettas| mid gefeohte cnysede ․ \& hie ofer swiþde , \& swa þeah ne| meahte þær rice #gewinnan# .;;;"Before the incarnation of Christ sixty years, Gaius Julius the emperor, first of the Romans, sought the land of Britain; and he crushed the Britons in battle, and overcame them; and nevertheless he was unable to gain any empire there.";\cite{Killings1996};
Chronicle;MS A Early;61;1;wæs;0;3.sg.ind.prt.;3;sg;ind;prt;-;prt;wesan;;aux;;;;;;;;;;;;;\& on þam| xlii geare his rices Crist #wæs# acenned .;;;and in the forty-second year of his reign Christ was born.;\cite{Killings1996};
Chronicle;MS A Early;61;1;acenned;ā;3.sg.ind.pperf.pass.;3;sg;ind;pperf;wesan;perf;ācennan;;hidden;;;;;;;;;;;;;\& on þam| xlii geare his rices Crist wæs #acenned# .;;;and in the forty-second year of his reign Christ was born.;\cite{Killings1996};
Chronicle;MS A Early;62;2;cuomon;0;3.pl.ind.prt.;3;pl;ind;prt;-;prt;cuman;motion;prc-only;;;;;;;;;;0;;HS;þa tungel witgan of eastdæle #cuomon# to þon þæt hie Crist| weorþedon , \& þa cild on Bethlem ofslægene| wærun for Cristes ehtnesse from Herode .;;;"Then three astrologers from the east came to worship Christ; and the children in Bethlehem were slain by Herod in persecution of Christ.";\cite{Killings1996};
